number,igsn,traintext,iSampleMaterial
478,IEDUT100L,SY-36a | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-36 for U-Th dating. See also metadata for: SY-36. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 4. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Inland site_ La Digue Island | Pavona/Leptastrea | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
505,IEDUT100D,SY-24a | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-24 for U-Th dating. See also metadata for: SY-24. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 4. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Inland site_ La Digue Island | Cyphastrea | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
523,IEDUT100V,SY-41c | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-41 for U-Th dating. See also metadata for: SY-41. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 4. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Inland site_ La Digue Island | Favia? | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
558,IEUHM00PM,IEUHM | Midway RC-192.9-216.7 | Sediment>Sedimentary>Carbonate | Limestone | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Limestone_ hard_ vuggy_ algal-coral. Less extensively leached and replaced than overlying limestone; abundant brown sparry calcite; coral-algal fragments especially abundant_ 650- 711 ft. | Vicarya_ 650 ft. | depth -4.88--504.14 m | Barrier Reef on ocean island volcano | Midway Atoll | Reef Hole | Midway Atoll Lagoon | One of two cores drilled in summer 1965; floor of the northern edge of the Midway lagoon | Midway Deep Core - 1965 | geologic history of the Hawaiian chain,mat:biogenicnonorganicmaterial
574,IEUHM00TX,IEUHM | Ewa1-299.9-302.1 | Sediment>Sedimentary>Carbonate | Brown mud | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Indurated brown fossiliferous silty clay containing a 1-inch piece of Porites coral embedded in clay at 988 and 990 ft. | depth 0-337.41 m | ocean island volcano | Oahu Island_ Hawaii | southeast section of old USCG station and later Pacific Tsunami Warning Center at Ewa Beach_ Oahu | Ewa coastal plain | coastal plain ~200 m inland from shoreline | Deep Cores in Ewa Plain_ summer 1965 | truck mounted Failing Model 2500 drill rig | geologic history of the Hawaiian chain,mat:biogenicnonorganicmaterial
579,IEACB000M,IEACB | ET18-TAP-17 | Terrestrial Section | collection: Scraping layers with trowel. Vertical section was dug  and layers were sampled from top to bottom_ creating a shelf that migrated down | 0.33 | gallon ziplock bag | Rock>Igneous>Volcanic>Mafic | Probably Nov 23_ 2013_ finer_ angular supported clasts_ mostly < 1 cm_ but associated with bombs (this is diagnostic of 2013 and not 2015)_ 5-6 cm original thickness as measured by Daniele immediately after the eruption_ but now condensed to a few cm (Bruce drew a section and recorded thicknesses I think_ there is also a photo).  | Volcano | Etna | Above Refugio Citelli | ET18-TAP-17 | Pick through for olivine crystals,mat:sediment
609,TAP00003A,TAP | CV15DJR08 | Specimen | | collection: Grab. Sampled ash size grains in a recent (2008?) lahar/pyroclastic flow_ deposit is channelized and boardered by large blocks of scoria and lava_ clasts of golden pumice? Dispersed over top of flow | 1 | Gallon | Rock>Igneous>Volcanic>Mafic | Sampled ash size grains in a recent (2008?) lahar/pyroclastic flow; deposit is channelized and bordered by large blocks of scoria and lava_ clasts of golden pumice? Relatively fresh_ some soil_ small crystals. Plagioclase with potentially pyroxene.  | Cinder cone | Cleveland V. | Lahar? SE flank | ash | GeoPrisms 2015 IFM | Melt inclusions_ crystal chronometry_ geochemistry,mat:rockorsediment
616,IEDUT101N,SY-69 | Specimen | | Biology>Macrobiology>Coral | Fossil coral from Site 19A: Growing off coralline algae that is attached to the granite wall. Encrusting. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 19A. Elevation is height from top of coral to mean low water springs_ +/- 0.2 m. Coordinates estimated from Google Earth. | Curieuse Island | North end of old turtle pond wall | Favia | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
681,IEAVO02X4,IEAVO | 09KCNYE012A2 | | Several fragments from a large block w/ notably abundant interstitial melt and melt along channels - which become fracture surfaces.  Melt appears to be in zones up to several mm wide.  Question is: what is relation of this melt to erupted magma/scoria/pumice?  Is melt bleeding out of these bodies and comint straight to surface or is there another magma zone in between?  Or is athe pumice magma acting as the transporter - the bus itself - and thus must have deeper source even though it is more silicic? | volcano | VNum: 311130 | Beach landing site on western edge of middle of three NW rocky points. | Kasatochi,mat:rock
714,IEUHM00TK,IEUHM | Ewa1-241.4-247.2 | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Sediment>Sedimentary>Carbonate | Gray calcareous mud_ some limy streaks_ and scarce solid nodules and concretions. | depth 0-337.41 m | ocean island volcano | Oahu Island_ Hawaii | southeast section of old USCG station and later Pacific Tsunami Warning Center at Ewa Beach_ Oahu | Ewa coastal plain | coastal plain ~200 m inland from shoreline | Gray mud | Deep Cores in Ewa Plain_ summer 1965 | truck mounted Failing Model 2500 drill rig | geologic history of the Hawaiian chain,mat:sediment
748,ARF0004L6,"ARF | ELT08-9 | Dredge | 0 | cm | ELT08 | platform: Ship, USNS Eltanin",mat:rockorsediment
760,IEROY0003,IEROY | C3 | Terrestrial Section | Mineral>Graphite | 14C age BP (not calibrated). Measurements made at Plateforme Nationale LMC14 (LSCE (CNRS-CEA-UVSQ)-IRD-IRSN-MC) Service National de l'INSU_ CEA Saclay_ France using the accelerator mass spectrometry (AMS) ARTEMIS_ following preparation protocols (Dumoulin et al._ 2017_ Moreau et al. 2013). Radiocarbon ages are calculated using Mook and Van der Plicht (1999).  | agenumeric: 9400-9480 years | fault zone | Magallanes Fagnano strike slip Fault | Charcoal | S_Roy PHD expedition TDF_ CNRS_ USMB | paleoseismological trench study of late holocene earthquakes in Tierra del Fuego,mat:biogenicnonorganicmaterial
765,IEROY0009,IEROY | C9 | Terrestrial Section | Mineral>Graphite | 14C age BP (not calibrated). Measurements made at Plateforme Nationale LMC14 (LSCE (CNRS-CEA-UVSQ)-IRD-IRSN-MC) Service National de l'INSU_ CEA Saclay_ France using the accelerator mass spectrometry (AMS) ARTEMIS_ following preparation protocols (Dumoulin et al._ 2017_ Moreau et al. 2013). Radiocarbon ages are calculated using Mook and Van der Plicht (1999).  | agenumeric: 2080-2140 years | fault zone | Magallanes Fagnano strike slip Fault | Charcoal | S_Roy PHD expedition TDF_ CNRS_ USMB | paleoseismological trench study of late holocene earthquakes in Tierra del Fuego,mat:biogenicnonorganicmaterial
797,TAP00007D,TAP | WD15PS08 | | collection: surface. collect just below the surface | 1 | Gallons | Rock>Igneous>Volcanic>Mafic | ash-lapilli | On one if the middle cones in E fissure sequence_ but its so cloudy I don't know exactly where we are. Halfway down the SE face of the cone. Sample taken from just below the surface.  Spotty altered clasts present on surface_ these were avoided in sampling.  Toe of glacier is visible to west.   | geologicage: Holocene Q2vb3 | Cinder cone | Westdahl V. - Upper cone in E. fissure | mid cone | Westdahl V. | ash-lapilli | GeoPrisms 2015 IFM | Melt inclusions_ crystal chronometry_ geochemistry,mat:rockorsediment
803,TAP00002P,TAP | MK15TAP03 | Specimen | | collection: Grab. outcrop | 1 | Gallon | Rock>Igneous>Volcanic>Mafic | Very fine_ well developed soil_ small crystals. Glassy black scoria. May contain plagioclase. | Sampling upper 2 black layers (also interveining thin tan layer)_ very fine_ stream cut downslope of MK15TAP02. Airfall section_ at least 1 m thick. Mostly sampled lapilli with some ash. Fining upwards from small bombs to coarse ash.  | agenumeric: 54-82 Ka | Satellite vent | Makushin V._ Table Top Mtn | Stream cut downslope of MK15TAP02 | soil-rich ash | GeoPrisms 2015 | Melt inclusions_ crystal chronometry_ geochemistry,mat:rockorsediment
834,IEMRS0065,IEMRS | ZLK-14.3_Bag3 | | Biology>Macrobiology | bag 3. in situ oysters. AB. Fissureia. C. Ostrea.' Boulders lying on top of a shore platform. On the boulders a continuous band of barnacles_ in some sites overgrowing on oysters.  'nearest tide gauge is Lamberts bay_  | daily tides around +1.7 to -0.2 acd' Clear contact between lower intertidal and upper intertidal. Boulders with oysters and barnacles 28.8102+-0.383 m. Very near to intertidal.  | outcrop | Northern Cape Provience | Â± 0.4 m | Langklip | Horizontal barnacle/oyster band on cobbles/boulders above a shore platform | Shells - undifferentiated | SR/AAR,mat:biogenicnonorganicmaterial
862,IEDUT1002,SY-09b | Mechanical Fraction | | collection: Manual. Sampled from parent with hand-drill. | 0.2 | mg | Biology>Macrobiology>Coral | Fossil coral material cut from SY-09 for U-Th dating. See also metadata for: SY-09. | Reference: Dutton_ A._ Webster_ J.M._ Zwartz_ D._ Lambeck_ K._ and Wohlfarth_ B._ 2015_ Tropical tales of polar ice: evidence of Last Interglacial polar ice sheet retreat recorded by fossil reefs of the granitic Seychelles islands: Quaternary Science Reviews_ v. 107_ p. 182-196. | Reef | Site 11. Sample elevation not determined. | Grande Anse_ La Digue Island | Favites | Dutton Seychelles 2009,mat:biogenicnonorganicmaterial
870,IEMRS0056,IEMRS | ZCH1a_(1)_B | | Biology>Macrobiology | shells from beach rock | B Rp ck. Bag 1. coordinates: 31deg20'51.2'S 18deg3'4.17'E. well cemented beachroch (probably subtidal) grading upwards into subtidal sads_ topped by Shells possibly |  deposited by storms as obsetved in modern beach. nearest tide gauge is Saldanha with daily tides between 1.8 and 0.2m. top of subtidal sands is at 15.027+-0.258m_ SL  | was surely above it but below top of shell bed at 17.1413+-0.381m. | outcrop | Olifants River | Â± 0.3 m | Channel | Transition between a subtidal (Upper shoreface) to intertidal facies | Ostrea sp. | SR,mat:biogenicnonorganicmaterial
875,IEAVO02AG,IEAVO | 01KW-CP1-G1-7a | | Stratigraphic Unit No. 3c. Interpreted deposit type: tephra fall. Thickness: 41 cm (62 cm cumulative; unit broken into four subunits based on bedding characteristics). Grain size: coarse lapilli with coarse ash parting mid deposit. Bedding: normally graded. Sorting: poorly sorted. Juvenile clast type: dark brown (less dense_ slightly more vesicular clasts). Remarks: juvenile scoria clasts from base. Munsell color-wet: 10Y 4/2. Munsell color-dry: 10YR 6/2. Grain shape: angular. Age: 840+/-60 yr. B.P. >1953. | volcano | VNum: 313040 | Spurr_ Bench Gully (G1) | Spurr | Tephra Fall,mat:sediment
955,IEUHM00SH,IEUHM | Ewa1-110.9-113.1 | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Sediment>Sedimentary>Carbonate | Calcareous mud with limonitic streaks. | depth 0-337.41 m | ocean island volcano | Oahu Island_ Hawaii | southeast section of old USCG station and later Pacific Tsunami Warning Center at Ewa Beach_ Oahu | Ewa coastal plain | coastal plain ~200 m inland from shoreline | Calcareous mud | Deep Cores in Ewa Plain_ summer 1965 | truck mounted Failing Model 2500 drill rig | geologic history of the Hawaiian chain,mat:sediment
958,KHR00027U,KHR | S95-sed-01 | Grab | collection: Grab>ROV. pushcore | Push core #3. Into the deep seds. 40+ cm of sediments. The seds are black under the thin pelagic lighter seds. Coarse plug of dark volcanic seds. Upper part of tube has finer grain size. At landing site-really bad navigation. edge of a heavily sedimented area that looks like a contact. Flatter pillow lobes that are heavily sedimented next to more bulbous pillows up slope. | seamount | West Mata | lower SW rift zone  | NE Lau Basin | volcaniclastic sediment | FK171110 | platform: Ship_ R/V Falkor | launch: SuBastian_ 2 | S95 | research,mat:sediment
966,IEUHM00S1,IEUHM | Ewa1-63.7-76.2 | Sediment>Sedimentary>Carbonate | Brown mud | Core Section | collection: CorerCoring>DrillCorer. truck-mounted drill rig_ conventional rock bit_ diamond core barrel | 3 | in | Brown mud containing 1-20% limestone grains. | depth 0-337.41 m | ocean island volcano | Oahu Island_ Hawaii | southeast section of old USCG station and later Pacific Tsunami Warning Center at Ewa Beach_ Oahu | Ewa coastal plain | coastal plain ~200 m inland from shoreline | Deep Cores in Ewa Plain_ summer 1965 | truck mounted Failing Model 2500 drill rig | geologic history of the Hawaiian chain,mat:sediment
1131,IEAVO02BF,IEAVO | 01KW-CP1-G3-5 | | Stratigraphic Unit No. 8. Interpreted deposit type: tephra fall - possibly reworked. Thickness: 70 cm. Grain size: coarse ash base grading up to medium to fine ash with a horizon of 2-4 mm rounded ash pods. Bedding: normally graded. Sorting: poorly sorted. Juvenile clast type: black (dense_ scoria-like clasts). Remarks: coarse ash base round pods near top of unit 8. Munsell color-wet: 10YR 4/2. Munsell color-dry: 10YR 6/2. Grain shape: subround-angular. Age: >3930+/- 40 yr. B.P. | volcano | VNum: 313040 | Bench Gully-G3 | Spurr | Tephra Fall,mat:sediment
1138,IEALO0002,IEALO | Al100-15h | Other | Experimental Specimen | Synthesized aluminum hydroxide; heated for fifteen hours at 100C_ transitional from boehmite into bayerite | 50 mL of a 3.25 M NaOH solution were added to 30 mL of a 1.8 M Al(NO3)3 Â·9H2O at a rate of 2.94 mL/min with a magnetic stirring bar for 17 minutes. The suspension was then mixed in an ultrasonic bath for 3 hours at 25Ëš C_ filtered_ and then rinsed with nanopure water until fully desalinated. Precipitate was then heated for 15 hours at 100 C | Al100-15h | For use in Flow Adsorption Microcalorimetry research,mat:otheranthropogenicmaterial
1194,WDC000014,WDC | GR74-117HP | Core | 128x8 | cm | 0-5 cm = sandy mud or ooze; 5-8 cm = sandy mud or ooze; 9-12 cm = sandy mud or ooze; 13-16 cm = sandy mud or ooze; 24-27 cm = sandy mud or ooze; 27-30 cm = sandy mud or ooze; 38-41 cm = sandy mud or ooze; 46-49 cm = sandy mud or ooze; 56-59 cm = sandy mud or ooze; 60-63 cm = sandy mud or ooze; 68-71 cm = sandy mud or ooze; 72-75 cm = sandy mud or ooze; 120-123 cm = sandy mud or ooze; 124-127 cm = sandy mud or ooze | Original archive closed and sample discarded IMLGS  record imlgs0000316 | GR74 | platform: Ship_ Researcher,mat:sediment
1200,BSU0002E0,BSU | 13-DMO-279-mag@1.0A | Individual Sample,mat:otheranthropogenicmaterial
1210,IEPAP0048,IEPAP | TSA15-CQ-14 | | collection: Manual>Hammer. Removed from outcrop using a hammer_ in-situ orientation recorded | Rock>Sedimentary>Volcaniclastic | Hand sample | geologicage: Paleoarchean Fig Tree Group; Barberton greenstone belt | Outcrop; Barberton greenstone belt | Conglomerate/Puddingstone quarry; Barberton Mountain Land | Late Onverwacht-early Fig Tree contact located at the end of a forestry road_ Barberton Mountainland Reserve | Finely-laminated_ fine-grained gray chert | Paleoarchean arsenic project (PAP): NSF EAR-PF award 1452347_ PI. K. Myers,mat:rock
1223,IESPB000F,IESPB | 14C19-15-KILA | Specimen | | Biology>Macrobiology | West wall. Charcoal fragments from large chunk within peaty organic horizon_ just above large boulder and near waterfall. The source could have been a root_ but has clearly been dead for awhile - perhaps killed by overlying gravel deposit? (Preceding is field description_ modified to the lab observation that the item is charcoal_ not wood) | Active fault trace | Talphi fault | Kilahannechaur paleoseismic site | gully incised into a Holocene alluvial fan | charcoal | WNFS 2019 | radiocarbon dating,mat:biogenicnonorganicmaterial
1402,IENTL011O,IENTL | MSEEL spot 4 7517.4 | Core | collection: Coring.  to improve recovery efficiency and minimize environmental implications of unconventional resource development - please see http://www.mseel.org/ for details_ starting elevation 1058 feet | Rock>Sedimentary | fragment | API 47-061-01707 | geologicage: Middle Devonian_ 382.7-393.3 Ma Marcellus Formation | Plateau | Appalachain Plateau Province | Morgantown Industrial Park | MSEEL spot 4 7517.4 | MSEEL provides a long-term field site to develop and validate new knowledge and technology,mat:rock
1550,MGD00003W,MGD | J488-HFS-12 | | collection: Sampler:Fluid:HFS. Jason 2 Dive: J2-488 on Cruise: KM1005; Unfiltered bag #18 (start 21:54:15). Right in the vent at Brimstone. Not much of a pH anomaly_ looking at heated seawater if the pH reading is correct and consistent with no sulfur or CO2 coming out of the vent. (stopped 21:57). pH voltage was 1.86  Tmax=23.5  Tavg=22.7 Vol=438ml  T2=15. | geologicage: Not Applicable | Volcano | IBM:Mariana:NW_Rota-1 | Mkr-161 Brimstone | KM1005 | platform: Ship_ Kilo Moana | launch: Jason II_ 2 | J2-488,mat:liquidwater
1565,IEACB000Q,IEACB | ET18-TAP-21 | Terrestrial Section | collection: Scraping layers with trowel. Vertical section was dug  and layers were sampled from top to bottom_ creating a shelf that migrated down | 1 | gallon ziplock bag | Rock>Igneous>Volcanic>Mafic | Then sample next 2-3 cm of finer material_ until feel coarser material below. We think this is base (initial) of Dec 4 (eve) 2015_ which grades upward to coarser clasts_ building intensity of fountain | Volcano | Etna | Piano Concazze | ET18-TAP-21 | Pick through for olivine crystals,mat:sediment
1574,BSU0005Y7,BSU | 19MAW129A->500 | | Rock>Igneous>Volcanic | Yellow to white weathering thin bentonite seam. Weathered surface is dry and crumbly. Sample will basically be a detrital sample as it includes abundant material from the dark gray to gray brown weathering mudstone surrounding this thin ash. However this may prove a valuable age for bounding this lower sandstone within the Seabee. | Ninuluk Bluff | Mid-unit; HST(?) Seabee | Air-fall tephra deposit: bentonite with mudstone | Air-Fall Tephra and Detrital Zircon U-Pb geochronology,mat:rock
1669,IEAVO059C,IEAVO | Y-131_a | Tephra Fall | | Lithic-rich lapilli fall beneath ignimbrite; lapilli layer has ~1mm of tan silt at its base. Exposed thickness 3 to 13 cm. Pumice clasts: very few pxn-clot blebs; white_ buff_ and plenty of grey pumice. [Note: text refers to both this sample and another at the same location as both 'Y-131'. For clarity_ GeoDIVA has added an '_a' to the end of this sample name.] | volcano | VNum: 312250 | Kaguyak. Saddle between Eastern Edifice and Dome 2315;  default location for the volcano. | Kaguyak,mat:sediment
1909,IEWFS000C,IEWFS | 139 | Core Section | collection: Manual>Hammer. Soil cores were collected using soil bulk density corer attached to a slide hammer | Soil cores that were collected seasonally during autumn_ winter_ snowmelt_ and spring at a high altitude field site which is predominately montane meadow | depth 0-5 cm | Mountain | East River Watershed_ Colorado The East River is a snow?dominated_ headwater basin of the Upper Colorado River Basin located in the western United States. | Watershed Function SFA,mat:soil
1912,IEWFS000O,IEWFS | 151 | Core Section | collection: Manual>Hammer. Soil cores were collected using soil bulk density corer attached to a slide hammer | Soil cores that were collected seasonally during autumn_ winter_ snowmelt_ and spring at a high altitude field site which is predominately montane meadow | depth 0-5 cm | Mountain | East River Watershed_ Colorado The East River is a snow?dominated_ headwater basin of the Upper Colorado River Basin located in the western United States. | Watershed Function SFA,mat:soil
