recno,igsn,description_material,OneorTwo,text
454153,5550000GP,mat:rock,isamMat1,"555 | 2746-3A | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A131-11 | platform: Ship, R/V Atlantis II | launch: Alvin, 3 | 2746"
454154,5550000GQ,mat:rock,isamMat1,"555 | 2746-3B | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | A131-11 | platform: Ship, R/V Atlantis II | launch: Alvin, 3 | 2746"
454951,55500011R,mat:rock,isamMat1,"555 | AT7-4RC3 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | AT07-04 | platform: Ship, R/V Atlantis II | launch: Not Applicable, 6 | Not Applicable"
405665,55500011S,mat:rock,isamMat1,"555 | AT7-6RC61 | Individual Sample | Rock>Igneous>Volcanic>Mafic | Ridge | East Pacific Rise | Basalt | AT07-06 | platform: Ship, R/V Atlantis II | launch: Not Applicable, 6 | Not Applicable"
761420,55500019I,mat:rock,isamMat1,"555 | T461-G1 | Individual Sample | Rock>Igneous>Volcanic>Mafic | mid-ocean ridge | Juan de Fuca Ridge | basalt | JdFCL02 | platform: Ship, Western Flyer | launch: Tiburon, 2 | T461"
455053,ADV000001,mat:rock,isamMat1,ADV | SR-08-001 | Individual Sample | Bedrock | Sessrumir Valley | Sandstone | G438
455054,ADV000002,mat:rock,isamMat1,ADV | SR-08-002 | Individual Sample | Bedrock | Sessrumir Valley | Sandstone | G438
455118,ADV00004X,mat:rock,isamMat1,ADV | SR-08-071 | Individual Sample | Boulder | Sessrumir Valley | sandstone | G438
455119,ADV00004Y,mat:rock,isamMat1,ADV | SR-08-072 | Individual Sample | Bedrock | Sessrumir Valley | sandstone | G438
455260,AGS520015,mat:rock,isamMat1,AGS | Apache-9 | Core | depth 358-407 ft Skeletonized | 9N 15  E 1/2 | Apache Iron District | Apache
455261,AGS520016,mat:rock,isamMat1,AGS | Apache-11 | Core | depth 349-477 ft Skeletonized | 9N 15  E 1/2 | Apache Iron District | Apache
455488,AGS520243,mat:rock,isamMat1,AGS | EnscoMobil-P-7 | Core | depth 632-641 ft Skeletonized | 4S 1W 32 SE SW NE | ENSCO Mobil W.R.A.
455489,AGS520244,mat:rock,isamMat1,AGS | FourMetals-42 | Core | depth 38-2161 ft Skeletonized | 23S 16E 29 W Center | Patagonia District | Four Metals
455490,AGS520245,mat:rock,isamMat1,AGS | Granite-1 | Core | depth 40-3260 ft Skeletonized | 3S 13E 21 NE NE NE | Mineral Creek District | Granite
55706,ALD00001R,mat:rock,isamMat1,ALD | OL14/St1-1 | Grab | Rock>Igneous>Volcanic | basin | Olduvai Gorge | Tuff | OGAP | ArAr dating
455707,ALD00001S,mat:rock,isamMat1,ALD | OL14/St1-2 | Grab | Rock>Igneous>Volcanic | basin | Olduvai Gorge | Tuff | OGAP | ArAr dating
455926,ARF00004U,mat:sediment,isamMat1,ARF | NBP02-01 020 TC _Archive | Core Half Round | 100 | cm | Antarctic Peninsula | NBP02-01
455927,ARF00004V,mat:sediment,isamMat1,ARF | NBP02-01 021 TC _Archive | Core Half Round | 61 | cm | Antarctic Peninsula | NBP02-01
455928,ARF00004W,mat:sediment,isamMat1,ARF | NBP02-01 008 JPC _Archive | Core Half Round | 1153 | cm | Antarctic Peninsula | NBP02-01
76285,NEON03RCI,mat:soil,isamMat1,NEO | LAJA_001-M-39-0-20201214-GA5 [ 806810 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 5 for microbial sequencing analyses | Soil Microbe
76286,NEON03RCJ,mat:soil,isamMat1,NEO | LAJA_001-M-39-0-20201214-GA4 [ 806811 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 4 for microbial sequencing analyses | Soil Microbe
76287,NEON03RCK,mat:soil,isamMat1,NEO | LAJA_001-M-39-0-20201214-GA3 [ 806812 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 3 for microbial sequencing analyses | Soil Microbe
76378,NEON03RFF,mat:soil,isamMat1,NEO | HARV_034-O-39.5-20.5-20200713-GA4 [ 806923 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 4 for microbial sequencing analyses | Soil Microbe
76379,NEON03RFG,mat:soil,isamMat1,NEO | HARV_034-O-39.5-20.5-20200713-GA3 [ 806924 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 3 for microbial sequencing analyses | Soil Microbe
76380,NEON03RFH,mat:soil,isamMat1,NEO | HARV_034-O-39.5-20.5-20200713-GA2 [ 806925 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses | Soil Microbe
76592,NEON03RM7,mat:soil,isamMat1,NEO | HARV_013-O-39-20.5-20200713-GA2 [ 807188 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses | Soil Microbe
76593,NEON03RM8,mat:soil,isamMat1,NEO | HARV_013-O-39-20.5-20200713-GA1 [ 807189 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses | Soil Microbe
550989,NHB006Q5N,mat:rock,isamMat1,"NHB | NMNH 116953-10 (PET) | Rock>Igneous | Glassy basalt | Individual Sample | Ocean | Atlantic Ocean | platform: Ship, Trident"
550991,NHB006Q5O,mat:rock,isamMat1,"NHB | NMNH 116953-11 (PET) | Individual Sample | Rock>Igneous | Ocean | Atlantic Ocean | Glassy basalt | platform: Ship, Trident"
139721,NHB006Q5P,mat:rock,isamMat1,"NHB | NMNH 116953-12 (PET) | Individual Sample | Rock>Igneous | Ocean | Atlantic Ocean | Glassy basalt | platform: Ship, Trident"
551303,NHB006Q9E,mat:rock,isamMat1,"NHB | NMNH 116976-7 (PET) | Individual Sample | Rock>Igneous | Ocean | Indian Ocean | Glassy basalt | CIRCE | platform: Ship, Argo"
551231,NHB006Q9F,mat:rock,isamMat1,"NHB | NMNH 116976-8 (PET) | Individual Sample | Rock>Igneous | Ocean | Indian Ocean | Glassy basalt | CIRCE | platform: Ship, Argo"
139808,NHB006Q9G,mat:rock,isamMat1,"NHB | NMNH 116976-9 (PET) | Individual Sample | Rock>Igneous | Ocean | Indian Ocean | Glassy basalt | CIRCE | platform: Ship, Argo"
140172,NHB006QGN,mat:rock,isamMat1,"NHB | NMNH 117020-1 (PET) | Individual Sample | Rock>Igneous | Ocean | Pacific Ocean | Glassy basalt | PROTEA | platform: Ship, Melville"
140173,NHB006QGO,mat:rock,isamMat1,"NHB | NMNH 117020-2 (PET) | Individual Sample | Rock>Igneous | Ocean | Pacific Ocean | Glassy basalt | PROTEA | platform: Ship, Melville"
768551,PRR025955,mat:rock,isamMat1,PRR | PRR-25955 | Individual Sample | Rock>Sedimentary | Black to dark gray shale with Dicroidium; carbonaceous shale. | Mt. Stonehouse | Shale
768555,PRR025956,mat:rock,isamMat1,PRR | PRR-25956 | Individual Sample | Rock>Sedimentary | Carbonized Dicroidium in black shale. | Mt. Stonehouse | Shale
768568,PRR025957,mat:rock,isamMat1,"PRR | PRR-25957 | Individual Sample | Rock>Sedimentary | Carbonaceous and micaceous, fine grained sandstone. | Mt. Stonehouse | Sandstone"
540817,PRR026067,mat:rock,isamMat1,PRR | PRR-26067 | Individual Sample | Profusion of plant stems and Dicroidium | Schroeder Hill
540818,PRR026068,mat:rock,isamMat1,"PRR | PRR-26068 | Individual Sample | Rock>Sedimentary | Medium grained, quartzose sandstone.  Sub-angular to rounded, moderately sorted, light tan and typical pinkish weathering.  Quartz, feldspar. | Schroeder Hill | Sandstone"
540820,PRR026069,mat:rock,isamMat1,"PRR | PRR-26069 | Individual Sample | Rock>Sedimentary | Medium grained, sub-angular, moderately sorted, micaceous (hence parting) sandstone. | Schroeder Hill | Sandstone"
541383,PRR026263,mat:rock,isamMat1,"PRR | PRR-26263 | Individual Sample | Rock>Igneous | [Coarse grained, black and white granite] | Linck Nunataks | Granite"
541374,PRR026264,mat:rock,isamMat1,PRR | PRR-26264 | Rock>Igneous | Granite | Individual Sample | [Contact between coarse and fine grained granite] | Linck Nunataks
846665,UGS0004UX,mat:rock,isamMat1,UGS | Bybell-006028 | Individual Sample | Solomons Island core | Macrofossils
846661,UGS0004UY,mat:rock,isamMat1,UGS | Bybell-006029 | Individual Sample | geologicage: Eocene Nanjemoy | Solomons Island core | Macrofossils
846675,UGS0004UZ,mat:rock,isamMat1,UGS | Bybell-006030 | Individual Sample | geologicage: Eocene Nanjemoy | Solomons Island core | Macrofossils
846695,UGS0004V0,mat:rock,isamMat1,UGS | Bybell-006031 | Individual Sample | geologicage: Eocene Nanjemoy | Solomons Island core | Macrofossils
846646,UGS0004V1,mat:rock,isamMat1,UGS | Bybell-006032 | Individual Sample | geologicage: Eocene Nanjemoy | Solomons Island core | Macrofossils
846641,UGS0004V2,mat:rock,isamMat1,UGS | Bybell-006033 | Individual Sample | geologicage: Eocene Nanjemoy | Solomons Island core | Macrofossils
846216,UGS0004WY,mat:rock,isamMat1,"UGS | Bybell-006101 | Individual Sample | geologicage: Paleocene Aquia | Aquia type locality, Aquia Creek | Macrofossils"
846254,UGS0004WZ,mat:rock,isamMat1,"UGS | Bybell-006102 | Individual Sample | geologicage: Paleocene Aquia | Aquia type locality, Aquia Creek | Macrofossils"
846273,UGS0004X0,mat:rock,isamMat1,"UGS | Bybell-006103 | Individual Sample | geologicage: Paleocene Aquia | Aquia type locality, Aquia Creek | Macrofossils"
846287,UGS0004X1,mat:rock,isamMat1,"UGS | Bybell-006104 | Individual Sample | geologicage: Paleocene Aquia | Aquia type locality, Aquia Creek | Macrofossils"
846283,UGS0004X2,mat:rock,isamMat1,"UGS | Bybell-006105 | Individual Sample | geologicage: Paleocene Aquia | Aquia type locality, Aquia Creek | Macrofossils"
846192,UGS00059R,mat:rock,isamMat1,UGS | Bybell-006562 | Individual Sample | geologicage: Eocene Manasquan | Upper Deerfield Township | Macrofossils
846155,UGS00059S,mat:rock,isamMat1,UGS | Bybell-006563 | Individual Sample | geologicage: Eocene Manasquan | Upper Deerfield Township | Macrofossils
846151,UGS00059T,mat:rock,isamMat1,UGS | Bybell-006564 | Individual Sample | downhole contamination | geologicage: Eocene Manasquan | Upper Deerfield Township | Macrofossils
846160,UGS00059U,mat:rock,isamMat1,UGS | Bybell-006565 | Individual Sample | downhole contamination | geologicage: Paleocene Vincentown | Upper Deerfield Township | Macrofossils
847426,UGS0005B0,mat:rock,isamMat1,UGS | Bybell-006607 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847424,UGS0005B1,mat:rock,isamMat1,UGS | Bybell-006608 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847430,UGS0005B2,mat:rock,isamMat1,UGS | Bybell-006609 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847429,UGS0005B3,mat:rock,isamMat1,UGS | Bybell-006610 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847445,UGS0005B4,mat:rock,isamMat1,UGS | Bybell-006611 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847441,UGS0005B5,mat:rock,isamMat1,UGS | Bybell-006612 | Individual Sample | geologicage: Eocene Manasquan | Allaire State Park core # 2 | Macrofossils
847419,UGS0005BF,mat:rock,isamMat1,UGS | Bybell-006622 | Individual Sample | geologicage: Paleocene Vincentown | Allaire State Park core # 2 | Macrofossils
847421,UGS0005BG,mat:rock,isamMat1,UGS | Bybell-006623 | Individual Sample | geologicage: Paleocene Vincentown | Allaire State Park core # 2 | Macrofossils
847415,UGS0005BH,mat:rock,isamMat1,UGS | Bybell-006624 | Individual Sample | geologicage: Paleocene Vincentown | Allaire State Park core # 2 | Macrofossils
847414,UGS0005BI,mat:rock,isamMat1,UGS | Bybell-006625 | Individual Sample | geologicage: Paleocene Vincentown | Allaire State Park core # 2 | Macrofossils
847100,UGS0005I4,mat:rock,isamMat1,UGS | Bybell-006863 | Individual Sample | geologicage: Eocene Shark River | Clayton core | Macrofossils
847105,UGS0005I5,mat:rock,isamMat1,UGS | Bybell-006864 | Individual Sample | geologicage: Eocene Shark River | Clayton core | Macrofossils
846965,UGS0005KE,mat:rock,isamMat1,UGS | Bybell-006945 | Individual Sample | Woodstown | Macrofossils
846962,UGS0005KF,mat:rock,isamMat1,UGS | Bybell-006946 | Individual Sample | couldn't find kleinpelli | Woodstown | Macrofossils
846966,UGS0005KG,mat:rock,isamMat1,UGS | Bybell-006947 | Individual Sample | Woodstown | Macrofossils
847304,UGS0005MZ,mat:rock,isamMat1,UGS | Bybell-007038 | Individual Sample | Macrofossils
486133,UGS0005N0,mat:rock,isamMat1,UGS | Bybell-007039 | Individual Sample | Macrofossils
847251,UGS0005OA,mat:rock,isamMat1,UGS | Bybell-007085 | Individual Sample | south of Hyderabad | Macrofossils
847249,UGS0005OB,mat:rock,isamMat1,UGS | Bybell-007086 | Individual Sample | south of Hyderabad | Macrofossils
847255,UGS0005OC,mat:rock,isamMat1,UGS | Bybell-007087 | Individual Sample | geologicage: Paleocene (uncertain) Meting | south of Hyderabad | Macrofossils
847173,UGS0005PD,mat:rock,isamMat1,"UGS | Bybell-007124 | Individual Sample | mixed sample; may be all reworked material | geologicage: should be Pleistocene Penita | Rio Chiquito, Rio San Bartolo/Chiquito | Macrofossils"
847171,UGS0005PE,mat:rock,isamMat1,"UGS | Bybell-007125 | Individual Sample | geologicage: Pleistocene Penita | Rio Chiquito, Rio San Bartolo/Chiquito | Macrofossils"
484881,UGS0005RY,mat:rock,isamMat1,UGS | Bybell-007217 | Individual Sample | sparse slide | geologicage: Eocene Manasquan | Clayton core | Macrofossils
484888,UGS0005RZ,mat:rock,isamMat1,UGS | Bybell-007218 | Individual Sample | geologicage: Eocene Manasquan | Clayton core | Macrofossils
484875,UGS0005S0,mat:rock,isamMat1,UGS | Bybell-007219 | Individual Sample | geologicage: Eocene Manasquan | Clayton core | Macrofossils
486052,UGS0005WU,mat:rock,isamMat1,UGS | Bybell-007393 | Individual Sample | geologicage: Eocene Harleyville | 2.2 mi SW of Clubhouse Crossroads and 25 mi WNW of Charleston | Clubhouse Crossroads #1 (Drayton) core | Macrofossils
484997,UGS0005WV,mat:rock,isamMat1,UGS | Bybell-007394 | Individual Sample | Barnegat | Macrofossils
486058,UGS0005WW,mat:rock,isamMat1,UGS | Bybell-007395 | Individual Sample | Barnegat | Macrofossils
486054,UGS0005WX,mat:rock,isamMat1,UGS | Bybell-007396 | Individual Sample | Barnegat | Macrofossils
486091,UGS0005WY,mat:rock,isamMat1,UGS | Bybell-007397 | Individual Sample | Barnegat | Macrofossils
