,igsn,traintext,iSampleMaterial
7771,NEON07A7X,NEO | [ 986244 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Aqueous whole genomic DNA from a single tick nymph collected as part of the NEON tick sampling protocol. Used for pathogen testing and archived at -80 degrees C. | Ehrlichia muris-like,7
2676,NEON00UCR,NEO | NIWO_006.N.20150728.AMAALP.01 [ 241136 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected from a beetle trap | Amara alpina (Paykull_ 1790),7
7020,IE223000W,IE223 | KN223_S01_GC1_S02_70 | Core Section | Sediment>Sedimentary | sediment | KN223 | platform: Ship_ R/V Knorr | dissolved oxygen measurement,12
5199,DSR0007AF,DSR | ELT55-12 | Core Piece | collection: Dredging. Discreet sample from a  rock dredge | four pieces of basalt: 2 approx. softball size_ 2 approx. baseball size | argon dating,10
3686,NEON01YDD,NEO | PUUM_006-O-12.5-39-20190107-GA2 [ 343868 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses,13
2876,NEON033OC,NEO | SERC_004-M-34-36-20190319-GA2 [ 782478 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses | Soil Microbe,13
7191,NHB005DDY,NHB | NMNH 110013 (PET) | | Rock>Metamorphic | Island | Sao Miguel Island | Collected Near Ponta Delgada | Sanidinite | platform: Ship_ Quest,10
2195,NEON03ETD,NEO | KONZ.20200813.R4745.F [ 795689 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal for physiological analyses | Sigmodon hispidus Say and Ord_ 1825,7
451,NEON0678E,NEO | [ 934826 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Bulk benthic microbes collected as part of NEON benthic microbe sampling protocols conducted 3 times annually at wadeable streams. Archived on Sterivex SVGP capsule filters at -80 degrees C. | Benthic Microbe,7
2516,MGD0008T9,MGD | J2-434-4-R2 | Biology>Microbiology | | flange - other side of previous | geologicage: Not Applicable | VentField | Lau:N-ELSC:KiloMoana | TN236 | platform: Ship_ Thomas G. Thompson | launch: Jason II_ 2 | J2-434,4
7646,MGD0001YH,MGD | T13-20Bdup3 | Core | collection: Sampler:Sediment:BoxCore. depth=-21.2 m | Focus Site | PNG | VANC15MV | platform: Ship_ Melville,12
18205,ODP0289DP,"ODP | Sample 146-889A-9H-1 (53-58 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 191832 | ODP Leg 146 | platform: Ship, Joides Resolution",11
1527,NEON00Q6H,NEO | ONAQ_009.20180731.IB.01 [ 277057 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
15429,ODP02I2AK,"ODP | Sample 165-1002E-3H-2 (5-7.5 cm.) | Individual Sample | Janus sample_id: 30003805 | ODP Leg 165 | platform: Ship, Joides Resolution",11
17554,ARF0003OH,ARF | IO1578-009A TC _ Sample | Core Half Round | 78 | cm | IO1578,12
1084,IEMRS000N,IEMRS | CR_TTBN_4 | Specimen | | collection: Coring>HandHeldCorer. Arag/Calcite - dry drill | Biology>Macrobiology>Coral | geologicage: Pleistocene Jurabi Terrace | reef | Cape Range | Vertical Error (1Ïƒ) = 0.055 | Tantabiddi Well North | Coral + CCA | Sr-Isotope,1
6847,NEON06492,"NEO | [ 930055 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Blood sample from a small mammal collected as part of the NEON small mammal box trapping protocol conducted for 3 nights 4-6 times annually. Archived in liquid nitrogen. | Peromyscus leucopus (Rafinesque, 1818)",7
7341,SSH00031F,SSH | SV1NPVF3_60-70 cm | Terrestrial Section | depth 60-70 cm | Watershed | SSHO | Susquehanna Shale Hills Critical Zone Observatory (CZO),13
7606,ODP01O8K0,"ODP | Section Half 201-1226B-22H-9-A | Core Section Half | ODP Leg 201 | platform: Ship, Joides Resolution",11
16265,HRV001477,HRV | 100643 | | Mineral>Gold | Number of pieces: 1; Quality: reference;  ,5
19857,UGS0005NI,UGS | Bybell-007057 | | Macrofossils,10
11432,IEIND029T,IEIND | CA-68 138-HS | Powder | | T27N R4E Sec. 20 | Kickapoo Sand & Gravel Corp. | Geochemical analysis,10
9620,ODP01RO7P,"ODP | Sample 101-630A-6H-3 (65-66 cm.) | Individual Sample | Janus sample_id: 1582 | ODP Leg 101 | platform: Ship, Joides Resolution",11
10522,ODP01W0T8,"ODP | Sample 113-689D-11H-6 (135-138 cm.) | Individual Sample | Janus sample_id: 586331 | ODP Leg 113 | platform: Ship, Joides Resolution",11
11558,ODP01ZSX2,"ODP | Sample 121-758B-4H-3 (8-10 cm.) | Individual Sample | Janus sample_id: 319205 | IODP Leg 121 | platform: Ship, Joides Resolution",11
18724,NHB004IBO,NMNH 87846-143 (PET) | Individual Sample  |  Unidentified,4
1512,NEON00R06,NEO | NOGP_009.20180522.IB.01 [ 286604 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
9826,IEACM015U,IEACM | YRO-148-P2 | | White_ young adult | YORK | Tooth | A Long Way from Home - Diaspora Communities in Roman Britain,1
9426,IERVTNTI0,IERVT | 167 | | Should be the 1000 ppm N2_ bal He_ but may have been contaminated? | SLAC-SFA | 2019 inundation tracer tests,2
17892,NHB004VVZ,NHB | NMNH 92075-93 (PET) | | Mine | Glove mine  |  Unidentified,4
1202,NEON07NFN,NEO | [ 1013263 ] | Biology>Macrobiology | Bulk Terrestrial Invertebrates | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Bulk unsorted invertebrate bycatch collected in a pitfall trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol Carabids and vertebrates have been removed. Remaining samples are archived in 95% ethanol and pooled across traps from the same plot and sampling dates.,7
9387,IEPFS00FB,USGS-NRP 164.927 cm | Core Half Round | Age=3625 YBP_ Error=20 Years | depth 164.927-164.927 cm | Slope Mountain | permafrost,13
18674,ODP02JVSG,"ODP | Sample 167-1020C-9H-1 (40-45 cm.) | Individual Sample | Janus sample_id: 1206814 | ODP Leg 167 | platform: Ship, Joides Resolution",11
1493,NEON00KC3,NEO | MOAB_002.20170627.IB.01 [ 243289 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
447,NHB005Y0O,NHB | NMNH 113602-966 (PET) | | Marquette Iron Range | Eyeballed the bounding box for the Marquette Iron Rangefrom a map titled 'The Iron Ranges of the Lake Superior Region' (https://en.wikipedia.org/wiki/Marquette_Iron_Range). Mindat gives similar coordinates for this locality (https://www.mindat.org/loc-125421.html). | Unidentified,4
16134,IEGRL006P,IEGRL | 13630 N1-M2 | Grab | stream (deglaciated) | Nerumaq | surface water,3
13789,NHB0048NB,NMNH 74296-286 (PET) | Individual Sample  |  Locality Key: Silverton Quad | Unidentified,4
15348,ODP01LROT,"ODP | SubSection 181-1124D-3H-6-1C (0-124 cm.) | Core Sub-Piece | Core | ODP Leg 181 | platform: Ship, Joides Resolution",11
15684,IEDAI04LB,IEDAI | TSCH2/22 M | | depth 420-428 CMBS | Paleoenvironmental reconstruction,11
3169,NEON008IX,NEO | NEON.BET.D08.001833 [ 301080 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Cyclotrachelus convivus (LeConte_ 1853),7
15165,ODP02TWJX,"ODP | Sample 186-1151A-88R-1 (73-75 cm.) | Individual Sample | Janus sample_id: 1339850 | ODP Leg 186 | platform: Ship, Joides Resolution",11
16292,IEDAI005D,IEDAI | BAD4-25 | | depth 628-635 CMBS | Paleoenvironmental reconstruction,11
19318,IEMTG00BA,IEMTG | 10990 | | Sandstone | Apatite Fission Track,10
17271,ODP02RGNJ,"ODP | Sample 182-1127B-36X-2 (74-76 cm.) | Individual Sample | Janus sample_id: 149325 | ODP Leg 182 | platform: Ship, Joides Resolution",11
13080,ODP01ZF5H,"ODP | Sample 121-755A-7R-2 (37-38 cm.) | Individual Sample | Janus sample_id: 309232 | IODP Leg 121 | platform: Ship, Joides Resolution",11
17923,ODP026NCJ,"ODP | Sample 141-860B-2H-4 (56-58 cm.) | Individual Sample | Janus sample_id: 672595 | ODP Leg 141 | platform: Ship, Joides Resolution",11
16068,ODP02XRHZ,"ODP | Sample 199-1222A-2H-4 (23-25 cm.) | Individual Sample | Janus sample_id: 1458871 | ODP Leg 199 | platform: Ship, Joides Resolution",11
13542,ODP02A209,"ODP | Sample 151-909C-42R-3 (14-16 cm.) | Individual Sample | Janus sample_id: 906866 | ODP Leg 151 | platform: Ship, Joides Resolution",11
10562,ODP01U80Y,"ODP | Sample 110-672A-11H-1 (76-78 cm.) | Individual Sample | Janus sample_id: 139521 | ODP Leg 110 | platform: Ship, Joides Resolution",11
19302,HRV000724,HRV | 83021 | | Mineral>Quartz |    | Rosia Montana,5
13863,IEFRA05PH,IEFRA | MD02-2592-Tr19T | Core Section Half | sea | Marge S.E. et S.O. africaine | SWAF,12
14128,NHB007YCP,NMNH 117472-63 (PET) | | Rock>Igneous | Volcano | Arenal  |  Repressa outcrop | Tephra,11
1606,NEON00NL1,NEO | TALL_009.20170906.IB.01 [ 261989 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
10760,ODP01WSQ4,"ODP | Sample 115-711A-1H-4 (145-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 21776 | ODP Leg 115 | platform: Ship, Joides Resolution",11
6978,ODP026BOV,"ODP | Sample 138-851E-4H-3 (13-15 cm.) | Individual Sample | Janus sample_id: 708471 | ODP Leg 138 | platform: Ship, Joides Resolution",11
695,IECJCGD50,IECJC | MG_SC5_66cm_MG-232 | Liquid | | collection: Tension Lysimeter. SoilMoisture suction cups lysimeter; Tesion Sampler  | Soil solution | Insufficient sample | mountain | Santa Catalina Mountains | Marshall Gulch | Schist Convergent Lysimeter 5 | Catalina-Jemez Critical Zone Observatory (CZO),3
11827,NHB004DA9,NHB | NMNH 76661 (PET) | | Rock>Igneous | Volcano | Vesuvius  |  Locality Key: Vesuvio | Volcanic ash,11
5046,NEON03H7V,NEO | TALL.2019.5.ANOCRU.F.A.01 [ 791120 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of vials containing mosquitoes sent to archive facility,7
1147,IEAA10080,"IEAA1 | F1341-16.0 | Rock Powder | Rock>Sedimentary | geologicage: Ediacaran Noonday Formation | BunnnyHills, DeathValley | Carbonate",8
19299,HRV002169,HRV | 120604 | | Mineral>Natron |      | Lake Tchad,5
16374,ODP02Y70F,"ODP | Sample 201-1229A-6H-2 (109-119 cm.) | Individual Sample | Janus sample_id: 1475727 | ODP Leg 201 | platform: Ship, Joides Resolution",11
7276,PRR038151,PRR-38151 | | Rock>Sedimentary | Sandstone clasts collected (E-F). [Gray_ tan_ pink_ clast_ large rounded quartz clasts up to 4cm] | Breccia,10
7859,IEBEG0TMP,IEBEG | R20559 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 2050-5090 Ft. | Oil or gas exploration,10
4877,NEON02LV4,NEO | MOAB.20161003.ML3060.E [ 752176 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding,7
5149,ODP0167H3,"ODP | Section 66-490*-59R-1 | Core Section | DSDP Leg 66 | platform: Ship, Glomar Challenger",11
8602,ODP01IGE8,"ODP | SubSection 166-1005B-1H-6-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 166 | platform: Ship, Joides Resolution",11
7753,IEBEG1QTP,IEBEG | R58405 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 7800-13487 Ft. | Oil or gas exploration,10
9012,IEBEG1N68,IEBEG | V08271 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-42 Ft. | Oil or gas exploration,6
11583,ODP01ZX22,"ODP | Sample 122-764A-5R-1 (16-18 cm.) | Individual Sample | Janus sample_id: 346957 | ODP Leg 122 | platform: Ship, Joides Resolution",11
9559,ARF000H0N,ARF | NBP 96-01 013 JTC_CC_1 | Other | Core cutter/catcher | Ross Sea | NBP96-01 | platform: Ship_ R/V Nathaniel B. Palmer,12
14392,ODP02SMRK,"ODP | Sample 184-1146A-52X-4 (30-34 cm.) | Individual Sample | Janus sample_id: 1438124 | ODP Leg 184 | platform: Ship, Joides Resolution",11
19658,IEAEM010M,P-13-plant-observation | | field observation,14
13250,ODP02QNM3,"ODP | Sample 181-1121B-15X-3 (24-29 cm.) | Individual Sample | Janus sample_id: 132722 | ODP Leg 181 | platform: Ship, Joides Resolution",11
9757,ODP01SGZY,"ODP | Sample 104-642C-10H-5 (113-117 cm.) | Individual Sample | Janus sample_id: 496492 | ODP Leg 104 | platform: Ship, Joides Resolution",11
10926,ODP02MYZX,"ODP | Sample 174-1071N-3M-1 (80-82 cm.) | Individual Sample | (KN168-2J-3-1W);  Janus sample_id: 20019243 | ODP Leg 174 | platform: Ship, Joides Resolution",11
17926,NHB00822X,NMNH 118302-92 (PET) | | Rock>Metamorphic  |  Metacarbonate-rock,10
10045,ODP02KUNK,"ODP | Sample 170-1040C-19R-1 (47-49 cm.) | Individual Sample | Janus sample_id: 1228573 | ODP Leg 170 | platform: Ship, Joides Resolution",11
1805,IECJCK473,IECJC | AZ_G1635-OR_Pit1-71cm | | collection: CeramicCup. Ceramic Cup Lysimeter | 8 | mL | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 1 | Catalina-Jemez Critical Zone Observatory (CZO),3
18544,HRV002JE8,126215 | | Mineral>Quartz |      | Belvidere Mtn. Quarries,5
15777,ODP024VTY,"ODP | Sample 135-835A-10H-6 (68-70 cm.) | Individual Sample | Janus sample_id: 654458 | ODP Leg 135 | platform: Ship, Joides Resolution",11
13823,ARF000I48,ARF | RISP78-20_Archive | Core Half Round | 91 | cm | Ross Ice Shelf_ Antarctica | RISP,12
2512,EOI0000HK,EOI | S102-gas-20-GT16 | | collection: gas tight bottle. orange | S102-gas-20. Sample of smoker gases from top of B3. | seamount | Mata Ono |  B3 Beehive | NE Lau Basin | FK171110 | platform: ROV_ Subastian | research,2
9751,ODP02K0T7,"ODP | Sample 167-1017E-1H-4 (51-54 cm.) | Individual Sample | Taken from Archive Half;  Janus sample_id: 1238831 | ODP Leg 167 | platform: Ship, Joides Resolution",11
13600,NHB000OZ3,NHB | NMNH 119855-00 (MIN) | | Mineral>Andradite  |  Frascati | Andradite (var. melanite),5
8748,IEBEG1CT3,IEBEG | R47594 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-450 Ft. | Oil or gas exploration,6
17721,IESPM003W,IESPM | LVT229 | Experimental Specimen | 50-50 | Calcite Fluorite,8
9684,ODP01TUQJ,"ODP | Sample 108-660B-13H-6 (105-107 cm.) | Individual Sample | Janus sample_id: 103783 | ODP Leg 108 | platform: Ship, Joides Resolution",11
5183,ODP0171GI,"ODP | SubSection 75-532*-55H-3-1C (0-48 cm.) | Core Sub-Piece | Core | DSDP Leg 75 | platform: Ship, Glomar Challenger",11
1272,NEON00W4T,NEO | WOOD_003.N.20160628.AGOCUP1.01 [ 266654 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Agonum cupreum Dejean_ 1831,7
2041,NEON02H1H,NEO | CPER_002.20190703.PASELO.01 [ 737294 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pasimachus elongatus LeConte_ 1846,7
4461,NEON01Z4Z,NEO | SJER_004-M-9-1-20190312-GA1 [ 345391 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses,13
18287,ODP02DS1K,"ODP | Sample 160-969B-10H-3 (0-150 cm.) | Individual Sample | Janus sample_id: 1108323 | ODP Leg 160 | platform: Ship, Joides Resolution",11
15138,IEDAI023F,IEDAI | AFR3/7 MF 100 | | depth 100-115 CMBS | Paleoenvironmental reconstruciton,11
10513,NHB001PLL,NMNH 167640-00 (MIN) | | Mineral>Sphalerite | Mine | Goose Creek Quarry  |  Leesburg | Sphalerite with actinolite,5
218,IECJCGY97,IECJC | JEMEZ_G198-Burn_Pit3-62cm | Liquid | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 186 | mL | Soil solution | Volume collected; possibly not total; not filtered | Resurgent dome | Valles Caldera | Rabbit Mountain | 2011 Burned ZOB Pedon 3 | Catalina-Jemez Critical Zone Observatory (CZO),3
18624,ODP02ZKQ8,"ODP | Sample 202-1240B-1H-4 (148-150 cm.) | Individual Sample | from center;  Janus sample_id: 1530768 | ODP Leg 202 | platform: Ship, Joides Resolution",11
6698,IEBEG09NQ,IEBEG | S04276 | Core | This is a sample of type WHOLE CORE from an oil or gas well. | depth 5598-5578 Ft. | Oil or Gas Field | Oil and gas exploration,10
1114,IEDUT102U,JAM26 | Cylinder | | Biology>Macrobiology>Coral | piece of short core | geologicage: Quaternary: MIS 5.5 Falmouth Formation | Reef | Limestone Falmouth Formation  | Rio Bueno Harbour | Eastern side of the harbour | Orbicella annularis | UF Jamaica 2015 Fieldwork,1
9395,ODP01QQ4Q,"ODP | Sample 42-380A-27R-5 (99-102 cm.) | Individual Sample | Janus sample_id: 30007236 | DSDP Leg 42 | platform: Ship, Glomar Challenger",11
10845,NHB002FO2,NHB | NMNH C5108-00 (MIN) | | Mineral>Steigerite | Mine | Sullivan Brothers Claim | Gypsum Valley | Steigerite,5
10479,NHB004HHF,NHB | NMNH 87654-22 (PET) | | Rock>Metamorphic | Mine | French American Mine  |  Mica schist with mica and quartz,10
13191,NHB004XLL,NHB | NMNH 97165-21 (PET) | | Rock>Metamorphic  |  Locality Key: Morgantown Quad | Quartzite,10
6920,NHB0016XO,NHB | NMNH 143663-00 (MIN) | | Mineral>Rhodonite | Mining District | Franklin Mining District  |  Franklin | Rhodonite with franklinite and calcite,5
971,IECJCL542,IECJC | NM_G3015-GREEN_Pit2-135cm | | collection: Prenart . Prenart Super Quartz suction cups soil water sampler | 11 | mL | Soil solution | Resurgent dome | Valles Caldera | San Antonio Mountain | Unburned Site Pedon 2 | Catalina-Jemez Critical Zone Observatory (CZO),3
11286,IE4720001,IE472 | FLAC3D_simulation | Other | Results of FLA3D simulation of seismicity | coal deposit 'Pokrovs'ke',14
5222,ODP01JI26,"ODP | SubSection 171-1051A-7H-4-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 171 | platform: Ship, Joides Resolution",11
12556,ODP0237WT,"ODP | Sample 130-805C-8H-1 (117-118 cm.) | Individual Sample | Janus sample_id: 612180 | ODP Leg 130 | platform: Ship, Joides Resolution",11
18494,NHB005G8J,NHB | NMNH 110892-99C (PET) | | Rock>Igneous  |  Troctolite,10
10497,ODP01W00I,"ODP | Sample 113-689D-11H-1 (11-12 cm.) | Individual Sample | taken from U-channel; Roberts 16328A;  Janus sample_id: 50000718 | ODP Leg 113 | platform: Ship, Joides Resolution",12
6482,PRR039505,PRR-39505 | | Rock>Igneous | Volcanics similar to Wilkins Nunatak [fresh sample 142g; baked cores cores 242g] | Mt. Matikonis | Coulter Heights | Volcanic,10
4556,NEON03LFU,NEO | NEON.BET.D12.000211 [ 802788 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Amara laevipennis Kirby_ 1837,7
4400,NEON028YQ,NEO | WREF.20190506.R1229.H [ 472704 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses,7
3699,NEON01JEF,NEO | SCBI_004-M-38-29.5-20181101-GA1 [ 249051 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses,13
8365,ODP02AZOC,"ODP | Sample 154-925B-8H-1 (120-122 cm.) | Individual Sample | Janus sample_id: 128564 | ODP Leg 154 | platform: Ship, Joides Resolution",11
16819,NHB001UU1,NHB | NMNH B1129-00 (MIN) | | Mineral>Sphalerite  |  Joplin | Sphalerite,5
17964,ARF0001XF,ARF | ELT18-001 TC _ Sample | Core Half Round | 49 | cm | ELT18,12
5343,WDC0000OC,WDC | WCC9-25 | Other | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000219 | WCC9 | platform: Ship_ Ferrel,9
16837,NHB003IN0,NHB | NMNH R13175-00 (MIN) | | Mineral>Quartz  |  Santa Eulalia | Quartz,5
15027,NHB000DFT,NHB | NMNH 97796-00 (MIN) | | Mineral>Andalusite  |  Andalusite with pyrophyllite,5
10191,NHB004NLA,NHB | NMNH 89034 (PET) | | Rock>Ore | Mine | Llallagua Mine  |  Bustillos Prov | Tin ore with cassiterite and pyrite,10
13291,ODP028OAY,"ODP | Sample 146-893B-7H-6 (106-116 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 193616 | ODP Leg 146 | platform: Ship, Joides Resolution",11
11882,ODP01XBW7,"ODP | Sample 116-717C-20X-4 (20-25 cm.) | Individual Sample | Janus sample_id: 207149 | ODP Leg 116 | platform: Ship, Joides Resolution",11
4475,IEAVO03WD,IEAVO | 96Mv85 | | stn. unit information comes from the polygon containing the sample point on the map. | volcano | VNum: 311310 | Unalaska Island_ 1996 Makushin project | Makushin | Lahar,10
14796,IEFRA03HF,IEFRA | MD96-2096-tr02A | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,12
4610,NEON02N73,NEO | FSH.POSE.02.20180402.1.0005.DNA [ 752061 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual fish fin clip sent to facility for DNA barcoding,7
17943,ODP02BOHD,"ODP | Sample 154-925D-26H-7 (55-57 cm.) | Individual Sample | Janus sample_id: 939882 | ODP Leg 154 | platform: Ship, Joides Resolution",11
19254,NHB00628B,NHB | NMNH 114319-2 (PET) | | Unknown | Unidentified,4
3964,NEON01KH5,NEO | STER_027-M-24.5-1-20180423-GA2 [ 251684 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses,13
2467,NEON019FL,NEO | SOAP.20180912.R2060.F [ 310289 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal and frozen at -80 degrees Celsius | Peromyscus boylii Baird,7
2624,NEON004YH,NEO | MOS.D05.000560; STEI_037.20180517.0802 [ 288150 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of individual mosquitoes preserved as vouchers | Aedes intrudens Dyar_ 1919,7
16913,DSR00046Y,DSR | SP10-05 | Core | 3.75 | meters | SP10 | platform: Ship_ San Pablo,12
15431,ODP01QD9O,"ODP | Sample 10-94*-26R-6 (0-0 cm.) | Individual Sample | Janus sample_id: 20015960 | DSDP Leg 10 | platform: Ship, Glomar Challenger",11
16219,ODP01SWN6,"ODP | Sample 105-645E-25R-2 (30-33 cm.) | Individual Sample | Janus sample_id: 517345 | ODP Leg 105 | platform: Ship, Joides Resolution",11
3207,NEON00GAP,NEO | NEON.BET.D10.003934 [ 467354 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Cicindela punctulata G.A.Olivier_ 1790,7
